Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,244897472,3141.910372139238,2986735,38.318295402131696,495418,4970435,63.768160418348025,49691,0.6375103304535991,8722,
United States of America,Americas,45361805,13704.363,495336,149.647,102877,734447,221.886,9214,2.784,1935
India,South-East Asia,34231809,2480.558,104359,7.562,16156,456386,33.071,3575,0.259,733
Brazil,Americas,21748984,10231.955,84105,39.568,13424,606246,285.212,2391,1.125,442
The United Kingdom,Europe,8897153,13106.02,307412,452.836,43922,140041,206.288,1010,1.488,207
Russian Federation,Europe,8392697,5751.004,261533,179.213,40096,235057,161.07,7668,5.254,1159
Turkey,Europe,7936007,9409.645,191868,227.496,26896,69769,82.724,1495,1.773,210
France,Europe,6917770,10636.283,36417,55.992,6437,115198,177.12,191,0.294,32
Iran (Islamic Republic of),Eastern Mediterranean,5888100,7010.231,66363,79.01,10644,125716,149.674,1131,1.347,197
Argentina,Americas,5283000,11689.146,8234,18.219,1415,115866,256.365,129,0.285,15
Spain,Europe,5006675,10577.643,11340,23.958,1249,87289,184.416,81,0.171,1
Colombia,Americas,4994014,9814.721,10487,20.61,1428,127133,249.854,223,0.438,34
Italy,Europe,4752368,7968.225,26481,44.4,4595,131954,221.245,266,0.446,50
Germany,Europe,4534452,5452.244,116744,140.373,28037,95485,114.812,610,0.733,126
Indonesia,South-East Asia,4242532,1551.066,4698,1.718,723,143333,52.402,213,0.078,34
Mexico,Americas,3788986,2938.73,26297,20.396,4538,286888,222.51,1963,1.522,392
Poland,Europe,2998891,7900.522,42684,112.45,8382,76773,202.257,473,1.246,101
South Africa,Africa,2920581,4924.373,2735,4.611,472,89049,150.145,295,0.497,62
Ukraine,Europe,2851804,6520.83,150204,343.451,26071,66204,151.38,3815,8.723,576
Philippines,Western Pacific,2768849,2526.758,33544,30.611,3218,42348,38.645,1371,1.251,271
Malaysia,Western Pacific,2448372,7564.642,40990,126.645,6148,28674,88.593,536,1.656,98
Peru,Americas,2197052,6663.417,5881,17.836,793,200118,606.936,190,0.576,35
Netherlands,Europe,2100866,12068.682,41409,237.879,7301,18357,105.454,86,0.494,17
Iraq,Eastern Mediterranean,2050652,5098.272,10417,25.898,1412,23061,57.334,225,0.559,37
Thailand,South-East Asia,1884973,2700.535,63394,90.822,9658,19006,27.229,447,0.64,84
Czechia,Europe,1747701,16342.912,28852,269.798,5824,30689,286.976,95,0.888,9
Japan,Western Pacific,1717709,1358.125,1972,1.559,342,18228,14.412,71,0.056,7
Canada,Americas,1704374,4515.837,16757,44.399,1787,28840,76.413,237,0.628,35
Chile,Americas,1686318,8821.408,12092,63.255,1710,37697,197.199,69,0.361,6
Romania,Europe,1616027,8360.704,96495,499.228,13197,46430,240.211,2943,15.226,415
Bangladesh,South-East Asia,1568857,952.616,1950,1.184,294,27847,16.909,46,0.028,6
Belgium,Europe,1342718,11653.07,33300,289.001,6,25946,225.178,109,0.946,5
Israel,Europe,1325701,15316.212,5448,62.942,642,8075,93.293,41,0.474,1
Pakistan,Eastern Mediterranean,1270322,575.086,4118,1.864,516,28405,12.859,93,0.042,13
Sweden,Europe,1169530,11324.327,5110,49.479,1264,15016,145.397,11,0.107,0
Serbia,Europe,1118905,16153.496,48200,695.858,6948,9698,140.009,426,6.15,64
Portugal,Europe,1087245,10559.971,5389,52.341,965,18144,176.225,35,0.34,3
Kazakhstan,Europe,1013503,5397.661,12134,64.623,1847,17050,90.804,215,1.145,29
Cuba,Americas,948847,8377.145,8720,76.987,912,8210,72.484,96,0.848,9
Morocco,Eastern Mediterranean,945201,2560.787,2234,6.052,398,14647,39.682,67,0.182,11
Viet Nam,Western Pacific,900585,925.209,26684,27.414,4411,21856,22.454,440,0.452,54
Switzerland,Europe,865391,9999.182,7352,84.949,3,10782,124.581,24,0.277,0
Hungary,Europe,859378,8796.517,18101,185.28,4039,30692,314.161,224,2.293,45
Jordan,Eastern Mediterranean,856450,8393.99,10417,102.096,1692,10983,107.643,80,0.784,7
Nepal,South-East Asia,811407,2784.818,3885,13.334,527,11382,39.064,56,0.192,2
Austria,Europe,805925,9054.255,25314,284.393,4407,11042,124.053,74,0.831,18
United Arab Emirates,Eastern Mediterranean,739566,7477.613,642,6.491,95,2135,21.587,11,0.111,1
Greece,Europe,728210,6793.913,23999,223.901,3639,15770,147.128,285,2.659,63
Tunisia,Eastern Mediterranean,712139,6025.569,975,8.25,126,25221,213.401,100,0.846,8
Georgia,Europe,707290,17730.232,27108,679.539,4009,9918,248.623,301,7.545,45
Lebanon,Eastern Mediterranean,639332,9366.891,3885,56.919,751,8472,124.124,34,0.498,7
Guatemala,Americas,596417,3329.043,4957,27.669,0,14797,82.593,282,1.574,0
Belarus,Europe,592224,6267.371,14292,151.249,1998,4563,48.289,114,1.206,17
Bulgaria,Europe,587765,8455.247,32688,470.231,5643,23594,339.41,875,12.587,154
Costa Rica,Americas,557922,10952.279,4261,83.645,757,6997,137.354,117,2.297,14
Saudi Arabia,Eastern Mediterranean,548423,1575.3,358,1.028,55,8785,25.234,15,0.043,3
Sri Lanka,South-East Asia,538320,2513.958,4460,20.828,0,13674,63.858,112,0.523,0
Azerbaijan,Europe,522368,5151.977,14511,143.118,2300,6966,68.704,157,1.548,27
Ecuador,Americas,515859,2923.865,1772,10.044,200,32958,186.804,21,0.119,5
Bolivia (Plurinational State of),Americas,511147,4378.875,3464,29.675,677,18907,161.972,24,0.206,4
Myanmar,South-East Asia,496901,913.256,5317,9.772,0,18603,34.191,138,0.254,0
Panama,Americas,471884,10936.489,1286,29.805,215,7314,169.511,17,0.394,4
Slovakia,Europe,470008,8611.56,23703,434.29,4981,12977,237.767,94,1.722,20
Paraguay,Americas,460815,6460.744,233,3.267,61,16233,227.591,5,0.07,1
Croatia,Europe,458090,11288.107,21901,539.677,4154,9142,225.274,174,4.288,26
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,452642,8872.873,2662,52.182,370,4657,91.288,53,1.039,6
Ireland,Europe,435526,8772.913,14292,287.887,1624,5436,109.499,67,1.35,67
Kuwait,Eastern Mediterranean,412594,9661.331,170,3.981,16,2461,57.627,3,0.07,0
Venezuela (Bolivarian Republic of),Americas,402407,1415.135,7184,25.264,1148,4836,17.007,88,0.309,14
Lithuania,Europe,399532,14299.181,20094,719.161,3485,5766,206.364,222,7.945,46
Uruguay,Americas,392585,11301.54,1227,35.322,266,6074,174.855,5,0.144,1
Denmark,Europe,380949,6542.41,9663,165.952,1871,2708,46.507,14,0.24,5
Dominican Republic,Americas,378234,3486.699,5194,47.88,849,4118,37.961,23,0.212,4
Honduras,Americas,374783,3783.926,1577,15.922,214,10211,103.093,63,0.636,9
Ethiopia,Africa,363712,316.371,3209,2.791,472,6412,5.577,125,0.109,19
